objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,snMedian,low_z
1237657627917615285,181.274562327733,51.3098409538875,7.130953,0.08550516,GALAXY,18.66661,16.68985,15.75049,15.3312,15.01788,0.0317579,0.004205641,0.003157695,0.003134983,0.005867068,26.56686,True
1237657627917615339,181.28971030193,51.2099877262464,5.757206,0.08709027,GALAXY,19.15569,17.53899,16.69692,16.27317,15.96978,0.04994756,0.00706679,0.005176466,0.005159639,0.01171615,14.04246,True
1237657627917615364,181.286600392063,51.3342466439111,5.575247,0.1243861,GALAXY,19.6694,17.66141,16.63238,16.20156,15.85786,0.06274596,0.006827916,0.004552707,0.004494095,0.009324816,18.62851,False
1237657627917615389,181.33340798713,51.3433844356868,4.697465,0.09438341,GALAXY,19.1084,17.82235,17.12154,16.73962,16.48089,0.03326283,0.006409051,0.005147603,0.005251445,0.01234971,15.71244,True
1237657628439085268,134.12587164522,38.4716667556476,4.910787,0.07356932,GALAXY,18.99801,17.83857,17.39572,17.05528,16.93497,0.03504921,0.006996976,0.006722205,0.006950543,0.01773692,11.73995,True
1237657628439150847,134.237407241979,38.6532004715832,3.328286,0.1331968,GALAXY,19.90709,18.46065,17.68055,17.25002,16.97586,0.0577656,0.009055122,0.006893191,0.006609485,0.0139965,13.24922,False
1237657628439216142,134.251800459125,38.7033999947775,4.082766,0.09482439,GALAXY,19.28251,18.20929,17.75978,17.35242,17.47542,0.04347724,0.008620293,0.00805603,0.007979503,0.0280528,10.38923,True
1237657628439347518,134.649756239204,38.8527076031207,5.925355,0.1311563,GALAXY,19.82705,17.68362,16.6003,16.14734,15.7872,0.07744396,0.007033439,0.004568951,0.004382649,0.008467639,16.60784,False
1237657628439478480,135.008801542064,38.9911193982906,6.694042,0.0596854,GALAXY,18.70314,17.48969,17.03464,16.74637,16.56853,0.0349417,0.006562802,0.006151079,0.006885577,0.01858403,10.38549,True
1237657628453372175,177.36257131095,51.6068568211641,3.103729,0.1314167,GALAXY,20.35652,18.32563,17.28831,16.85116,16.50298,0.08538244,0.00833173,0.005614835,0.005569211,0.0111328,14.75247,False
1237657628453372185,177.367621206019,51.5646602119766,4.798486,0.1325725,GALAXY,20.09292,17.98914,16.89089,16.44312,16.06191,0.08896866,0.00771784,0.005067838,0.004969361,0.009763052,15.52908,False
1237657628453372197,177.388665548714,51.4520402805411,3.577676,0.1349034,GALAXY,20.63174,18.56878,17.48409,17.03877,16.67398,0.1073625,0.00908683,0.005911334,0.005837379,0.0121018,14.45494,False
1237657628453437517,177.592517110351,51.4714581188347,6.877088,0.08355793,GALAXY,19.55353,17.78095,16.92246,16.53508,16.20598,0.06232792,0.007150201,0.005375779,0.005465513,0.01163981,15.96713,True
1237654669200326841,153.642808163615,-0.836987607016603,5.729627,0.04470693,GALAXY,18.37079,16.41744,15.54287,15.10674,14.76764,0.02700363,0.003698442,0.002971587,0.002967073,0.0051669,36.43359,True
1237654669200326940,153.725617382003,-0.794525735434848,8.08764,0.04809754,GALAXY,19.07006,17.06262,16.19116,15.77496,15.44757,0.05259818,0.005415927,0.004064925,0.004132722,0.008726395,18.21455,True
1237655177079095715,129.400812569981,-1.39012526337007,3.566244,0.05090437,GALAXY,19.06807,17.22752,16.36758,15.94466,15.64382,0.03552195,0.004719171,0.003769305,0.003581125,0.007392494,26.17648,True
1237655502958297253,251.760552780339,40.1439182587064,22.70489,0.03019869,GALAXY,17.04325,15.5432,14.84401,14.47033,14.17836,0.01478431,0.003140267,0.00268195,0.002750403,0.005505316,24.64498,True
1237657595148435694,120.662608861764,34.7764682382951,17.05053,0.03211583,GALAXY,16.19426,14.56927,13.73915,13.33794,12.99041,0.01084633,0.002241127,0.001989442,0.001975912,0.003342736,37.24516,True
1237657606426132672,129.203000319862,39.6763834326041,5.899177,0.05651709,GALAXY,18.51303,16.6429,15.76585,15.34147,15.0121,0.02517608,0.003977923,0.003049609,0.002931666,0.004998136,30.41054,True
1237657627917221959,179.843086361653,51.3025177652741,3.505231,0.02966616,GALAXY,19.95831,18.37688,17.60656,17.27294,16.99536,0.06049637,0.008876637,0.006737514,0.007093552,0.01643259,13.51556,True
1237657627917615396,181.364068778717,51.2768796357267,7.859352,0.09164413,GALAXY,17.71675,16.47496,15.86268,15.48707,15.29876,0.01620492,0.003727119,0.003219386,0.003271761,0.007162926,22.21495,True
1237657627917680781,181.602089812964,51.3543053808119,5.154194,0.08587752,GALAXY,19.68622,17.98588,17.08989,16.61341,16.27316,0.05187494,0.007096093,0.00507531,0.004882813,0.01050724,14.03554,True
1237657627917811877,182.066421679344,51.3904687026192,5.056279,0.03312341,GALAXY,18.82023,17.39589,16.7415,16.38002,16.12281,0.03365536,0.005973178,0.004899446,0.005028653,0.01154486,14.67558,True
