objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,snMedian,low_z
1237654601564749924,153.050376830846,4.32033892458089,3.354152,0.105773,GALAXY,20.41575,18.4436,17.47364,17.05419,16.74275,14.25602,False
1237654601564815456,153.207685116162,4.35067064332152,7.465986,0.09710994,GALAXY,18.49413,17.1588,16.49189,16.13081,15.86871,11.04232,True
1237654601570517150,166.3559711401,4.92340959026083,3.257977,0.1530456,GALAXY,20.6998,18.69707,17.59205,17.15382,16.78561,16.49645,False
1237654601570582641,166.402877428246,4.93860642658405,8.928898,0.1083399,GALAXY,19.11739,17.34494,16.36576,15.91778,15.52422,17.87325,False
1237654601570648148,166.542627339364,4.92153254411978,4.801146,0.07540573,GALAXY,19.81952,18.34282,17.5833,17.20865,16.99201,11.7763,True
1237654602101424271,152.647880348906,4.80468571666177,3.94287,0.210183,GALAXY,20.87761,18.97251,17.69276,17.17396,16.83905,10.97312,False
1237654602101555358,152.997411362175,4.68372120735417,4.624705,0.2034535,GALAXY,20.98893,18.97369,17.63487,17.07342,16.71329,10.69061,False
1237654602107322682,166.220401723812,5.17809370379896,4.059783,0.09062594,GALAXY,20.20364,18.27736,17.29465,16.90344,16.55445,18.14962,True
1237654602107322687,166.218517925394,5.28827999140784,4.050804,0.1525137,GALAXY,20.41714,18.59177,17.57291,17.13088,16.75938,13.55128,False
1237654602107388080,166.236456870477,5.25006308219733,3.932184,0.1087774,GALAXY,19.98482,17.97219,16.8878,16.39442,16.0215,24.79296,False
1237654602107453522,166.373727580526,5.28036162908788,3.21539,0.09122294,GALAXY,19.62126,18.02646,17.21203,16.78569,16.48594,25.18273,True
1237654602107453608,166.508903169438,5.2913219792751,4.079395,0.177723,GALAXY,20.90808,18.87926,17.67505,17.16527,16.81843,15.35207,False
1237654602107519065,166.552913821526,5.19963759072585,4.460769,0.1529838,GALAXY,20.30983,18.42049,17.21373,16.70127,16.3259,18.29317,False
1237654602107519067,166.553989417439,5.22184756537175,8.164008,0.1533386,GALAXY,18.9791,17.80444,17.08237,16.68938,16.44901,10.31452,False
1237654602644127850,165.969359112262,5.6674917781071,8.033468,0.08285902,GALAXY,18.77724,16.90768,15.97504,15.55585,15.2281,31.35712,True
1237654602644127963,166.032525703139,5.75286912056941,6.479382,0.2226947,GALAXY,21.16464,18.86293,17.42999,16.90643,16.59715,11.46193,False
1237654602644193448,166.110957636955,5.71686622081368,5.908267,0.158839,GALAXY,20.36633,18.11928,16.91769,16.43221,16.07516,18.65466,False
1237654602644258904,166.325374757059,5.63872972662055,4.719956,0.2429704,GALAXY,20.70796,18.8878,17.58079,17.08403,16.7482,13.32029,False
1237654602644390036,166.568894360537,5.75939171544498,9.797444,0.07591709,GALAXY,18.6606,17.16853,16.44566,16.07653,15.87261,11.80049,True
1237654602644455438,166.669109596726,5.6687237453142,5.517226,0.204056,GALAXY,21.00226,18.75029,17.38781,16.85903,16.54016,15.52803,False
1237654602644455476,166.677113350855,5.69127129656851,3.480203,0.08252548,GALAXY,19.91674,18.50518,17.75587,17.32278,17.06154,15.19913,True
1237654604249563272,154.52011268689,3.36053867195004,3.698161,0.1052368,GALAXY,19.74321,17.65976,16.60269,16.1263,15.74624,22.95653,False
1237654604249563310,154.584959422351,3.30998950353194,5.583447,0.0460006,GALAXY,18.45074,17.35038,16.90463,16.63288,16.46965,17.57746,True
1237654604249563325,154.598129503865,3.35451350093679,3.236208,0.1044191,GALAXY,20.59852,18.60458,17.61233,17.16072,16.78244,12.34559,False
1237654604249563338,154.620867027365,3.29031507419113,5.846496,0.0460196,GALAXY,18.40711,17.135,16.56292,16.24009,16.01785,19.34829,True
1237654604249628852,154.75638134557,3.36057486049583,3.834116,0.03252297,GALAXY,18.48671,17.02142,16.40988,16.07168,15.8334,26.08567,True
1237654605865091227,165.775351336459,4.93794275835176,12.31111,0.06729691,GALAXY,18.17856,16.30188,15.43004,15.01024,14.6877,26.80068,True
1237654605865222329,166.042948895574,5.0599782862784,4.415169,0.07534588,GALAXY,20.06572,18.11184,17.17958,16.75563,16.43589,19.57922,True
1237654605865287919,166.232568755188,5.00837863406611,9.41016,0.2461129,GALAXY,21.13133,18.62724,17.1665,16.61678,16.26104,10.1818,False
1237654605865353292,166.33742192289,5.00964473386683,4.770772,0.1020694,GALAXY,19.17818,17.76178,16.99542,16.54754,16.27382,20.75896,False
1237654605865353348,166.394265132571,5.00705155302943,5.116183,0.1445769,GALAXY,19.93494,18.14083,17.10363,16.64281,16.33132,14.42687,False
1237654605865353361,166.419975613953,4.99740119155336,7.387255,0.06754266,GALAXY,18.87127,17.49145,16.87464,16.47966,16.24422,14.76912,True
1237654605865419015,166.581878543743,5.04327614496401,4.526728,0.2042023,GALAXY,20.81615,18.8633,17.52669,16.99998,16.60244,16.73979,False
1237654606396719345,153.750067068452,4.94774751696076,5.602152,0.07649337,GALAXY,19.0169,17.12951,16.21903,15.8128,15.49657,28.18552,True
1237654606396784743,153.816512222669,4.95813577624705,5.309206,0.1888362,GALAXY,20.3122,18.36229,17.11345,16.58016,16.2555,13.50571,False
1237654606396784751,153.81942320192,4.97454811593224,5.718718,0.08825381,GALAXY,18.70494,17.43242,16.86446,16.4768,16.30052,16.75164,True
1237654606401896685,165.667887757987,5.40431855400004,5.328003,0.1198195,GALAXY,18.83556,17.51423,16.73844,16.29216,16.01279,22.66438,False
1237654606401962084,165.690835359935,5.36763114765511,4.18732,0.06088262,GALAXY,19.8245,18.3911,17.72433,17.38026,17.16545,10.96534,True
1237654606402093184,166.018696852578,5.50894562094401,3.715558,0.1585439,GALAXY,19.28059,18.03862,17.29945,16.8809,16.63532,18.00387,False
1237654606402158701,166.173884793986,5.44729116346918,3.894609,0.07546122,GALAXY,19.76888,18.05647,17.17856,16.74422,16.42857,19.43347,True
1237654606402158707,166.172852330085,5.55647486177154,5.346006,0.1578278,GALAXY,20.74268,18.57331,17.41834,16.9494,16.60932,14.75605,False
